"pathway","pval","padj","overlap","size","overlapGenes"
"C3_Stress response: C-type Lectin",3.47119263583451e-18,2.39512291872581e-16,33,257,"CLEC-10;CLEC-100;CLEC-114;CLEC-116;CLEC-119;CLEC-121;CLEC-122;CLEC-143;CLEC-164;CLEC-167;CLEC-168;CLEC-174;CLEC-179;CLEC-189;CLEC-193;CLEC-194;CLEC-195;CLEC-2;CLEC-207;CLEC-22;CLEC-233;CLEC-247;CLEC-248;CLEC-249;CLEC-255;CLEC-256;CLEC-31;CLEC-59;CLEC-64;CLEC-72;CLEC-94;F17B5.10;K04H8.2"
"C3_Unknown: regulated by multiple stresses",2.3154860335069e-14,1.19826402233982e-12,96,2231,"B0205.10;B0454.8;B0496.2;B0507.6;B0564.6;BTB-19;C06C6.7;C08F11.3;C09F9.1;C13G5.2;C16C8.12;C16C8.5;C23G10.5;C23H3.9;C27C7.1;C28A5.2;C28F5.1;C31B8.12;C33F10.1;C36C5.12;C50E10.1;C52A10.3;CD4.1;D1081.3;E01G4.5;F10C1.3;F11E6.3;CEST-33;F14F8.8;F19B10.1;F19C7.3;F21D9.2;F25A2.1;F25G6.1;F26D2.10;F27B3.6;F27C1.3;F28A10.3;F33D11.2;F33H12.7;F35E2.5;F36G9.15;F40H6.1;F56G4.7;F58F12.3;FIPR-28;H08M01.1;H11L12.1;K01D12.15;K02F6.3;K09F6.9;K11H12.4;M116.1;M28.4;MSRP-5;R07C3.13;SDZ-4;SSQ-3;T02H6.7;T05F1.5;T06A10.2;T16A1.2;T16A9.3;T22D1.8;T23F11.2;VH15N14R.1;W02D9.6;W04E12.5;W08E12.3;Y106G6D.3;Y110A2AL.3;Y113G7B.12;Y116F11B.7;Y34F4.4;Y37H2A.11;Y37H2A.13;Y38E10A.17;Y39E4A.1;Y40A1A.3;Y41D4A.3;Y43D4A.5;Y43F11A.1;Y45F10C.1;Y46G5A.34;Y46H3C.5;Y47D7A.15;Y4C6A.4;Y51H4A.24;Y53H1C.3;Y68A4A.13;Y69A2AR.12;ZC412.5;ZK1010.5;ZK1225.4;ZK354.3;ZK899.6"
"C3_Transmembrane protein: seven transmembrane receptor: srh",3.16549820379902e-12,1.3105162563728e-10,24,216,"SRH-113;SRH-123;SRH-145;SRH-149;SRH-181;SRH-217;SRH-22;SRH-245;SRH-251;SRH-255;SRH-28;SRH-283;SRH-284;SRH-289;SRH-290;SRH-291;SRH-299;SRH-303;SRH-304;SRH-45;SRH-48;SRH-59;SRH-67;SRH-74"
"C3_Transmembrane protein: seven transmembrane receptor: srz",1.74916410752904e-07,6.03461617097519e-06,10,61,"SRZ-10;SRZ-12;SRZ-13;SRZ-18;SRZ-23;SRZ-54;SRZ-59;SRZ-71;SRZ-90;SRZ-94"
"C1_Proteolysis general",1.79862113748603e-06,1.15111752799106e-05,23,395,"Y32F6A.5;CLP-3;CLP-6;CLP-8;CTSA-2;Y51A2D.1;C49A9.4;CLPR-2;SCL-27;K11D12.6;SRP-6;LYS-10;LYS-9;F39E9.6;NAS-18;NAS-21;NEP-10;NEP-13;NEP-4;R03G8.6;Y53F4B.20;ZK430.5;LIDO-17"
"C2_Proteolysis general: cysteine",9.53992203175328e-06,0.000257577894857339,7,41,"CLP-3;CLP-6;CLP-8;CTSA-2;Y51A2D.1;C49A9.4;CLPR-2"
"C3_Transmembrane protein: seven transmembrane receptor: sri ",1.2999322615835e-05,0.000384408540211122,8,59,"SRI-25;SRI-31;SRI-34;SRI-38;SRI-40;SRI-43;SRI-57;SRI-78"
"C2_Transcription factor: NHR",3.19518358228688e-05,0.000718916306014548,16,259,"NHR-123;NHR-147;NHR-174;NHR-187;NHR-188;NHR-198;NHR-223;NHR-231;NHR-241;NHR-242;NHR-248;NHR-253;NHR-264;NHR-72;NHR-73;NHR-81"
"C3_Transcription factor: NHR",3.19518358228688e-05,0.00082675375191673,16,259,"NHR-123;NHR-147;NHR-174;NHR-187;NHR-188;NHR-198;NHR-223;NHR-231;NHR-241;NHR-242;NHR-248;NHR-253;NHR-264;NHR-72;NHR-73;NHR-81"
"C3_Transmembrane protein: seven transmembrane receptor: srw",3.72198981250532e-05,0.000856057656876224,10,109,"SRW-109;SRW-11;SRW-122;SRW-14;SRW-20;SRW-36;SRW-42;SRW-54;SRW-63;SRW-83"
"C3_Transmembrane protein: seven transmembrane receptor: srbc",4.62704042006973e-05,0.000957797366954434,8,70,"SRBC-38;SRBC-40;SRBC-59;SRBC-6;SRBC-62;SRBC-68;SRBC-71;SRBC-79"
"C3_Transmembrane protein: seven transmembrane receptor: srx",0.000113369754189768,0.00213341264702564,9,101,"SRX-114;SRX-121;SRX-24;SRX-31;SRX-42;SRX-50;SRX-87;SRX-88;SRX-90"
"C3_Transmembrane protein: seven transmembrane receptor: str",0.000283719573991634,0.00489416265135569,12,193,"STR-101;STR-103;STR-134;STR-148;STR-185;STR-198;STR-208;STR-209;STR-214;STR-228;STR-243;STR-86"
"C3_Transmembrane protein: seven transmembrane receptor: srj",0.000832196176041011,0.0123816825349795,5,40,"SRI-74;SRJ-1;SRJ-25;SRJ-4;SRJ-45"
"C3_Stress response: detoxification: CYP",0.000837408480626634,0.0123816825349795,7,82,"CYP-13A11;CYP-13A5;CYP-33C5;CYP-33D3;CYP-33E2;CYP-35A4;F39G3.4"
"C3_Stress response: pathogen: CUB",0.00108814065515067,0.0150163410410793,4,25,"K08D8.5;T05E12.6;T19C9.8;ZK896.1"
"C1_Transcription factor",0.0031893598487433,0.0170099191932976,21,581,"HLH-31;ELK-2;CEH-86;CEH-89;NHR-123;NHR-147;NHR-174;NHR-187;NHR-188;NHR-198;NHR-223;NHR-231;NHR-241;NHR-242;NHR-248;NHR-253;NHR-264;NHR-72;NHR-73;NHR-81;NHR-291"
