"pathway","pval","padj","overlap","size","overlapGenes"
"C2_Stress response: oxidative",0.00455862277058275,0.054703473246993,4,28,"CST-2;CTL-1;CTL-2;CTL-3"
"C2_Transmembrane transport: potassium channel",0.00993042512521814,0.1092346763774,8,121,"C17F4.8;C40A11.7;K02F6.8;T08G3.13;TWK-36;ZC239.13;ZC239.3;ZC239.4"
"C2_Development: apoptosis",0.0201460490101649,0.185275790378425,5,64,"CSP-1;CSP-2;MATH-24;MATH-26;Y53F4B.7"
"C2_Transmembrane transport: solute carrier",0.0216747598653278,0.185275790378425,10,194,"F11D5.5;SLC-9B.2;K09C4.2;NCX-8;NSTP-9;SLC-28.1;VGLU-2;Y57G11C.23;Y66D12A.13;Y82E9BR.16"
"C2_Transmembrane transport: chloride channel",0.0222507424231476,0.185275790378425,4,44,"BEST-11;BEST-5;D1086.9;H39E23.3"
"C2_Extracellular material: galectin",0.0224576715610212,0.185275790378425,3,25,"F46A8.3;F46A8.4;F46A8.5"
"C2_Nucleic acid: binding",0.02477819205857,0.192395373631249,11,227,"EGRH-2;F35C5.3;F56B3.9;F58D12.5;F59B2.14;K02F6.1;Y59E9AR.2;C10A4.1;LIN-38;PLP-2;Y25C1A.8"
"C2_Stress response: pathogen",0.0297624129290621,0.218257694813122,9,176,"K08D8.5;T05E12.6;T19C9.8;ZK896.1;LYS-5;F11D11.3;HPO-33;Y43C5A.3;SPP-4"
"C2_Transmembrane transport: major facilitator",0.03158965564916,0.219464976088901,4,49,"F31D5.1;Y39B6A.29;Y43D4A.4;Y52E8A.6"
"C2_Transmembrane transport: ABC",0.0358783711751454,0.236797249755959,4,51,"HAF-3;HAF-6;MRP-7;PGP-7"
"C2_Signaling: phosphatase",0.052711658918136,0.331330427485426,9,196,"T22D1.5;C48B6.4;EGG-5;HPO-7;MOA-1;R10F2.6;Y54F10BM.3;Y62F5A.10;Y80D3A.8"
"C2_Cytoskeleton: actin function",0.0739122761949064,0.443473657169438,3,40,"M116.5;B0280.2;C31C9.6"
"C2_DNA: replication",0.0886789852485886,0.508940263165813,4,69,"C25F9.2;R03H10.6;R03H10.7;RPA-4"
"C2_Signaling: other",0.0960534541262643,0.528293997694454,4,71,"CLA-1;F16B12.7;T24H7.3;VY10G11R.1"
"C2_Signaling: Y kinase",0.111626226105495,0.587321464441251,4,75,"F23C8.7;KIN-30;KIN-5;Y116A8C.38"
"C2_Cytoskeleton: other",0.115684530874792,0.587321464441251,4,76,"AFD-1;ITX-1;T08D2.8;TTN-1"
"C2_Development: general",0.136906076803283,0.639781066882715,4,81,"EGO-2;MAC-1;PRO-3;SSL-1"
"C2_Extracellular material: PGI",0.139789451703044,0.639781066882715,3,53,"TSP-13;TSP-5;W04G5.5"
"C2_Extracellular Material: chondroitin sulfotransferase",0.140557961663627,0.639781066882715,2,27,"C31B8.9;T09E11.3"
"C2_Transcription: chromatin modification",0.159357061779532,0.701171071829941,5,117,"C29F9.5;CBP-2;F43G6.17;HDA-5;JMJD-1.1"
"C2_Metabolism: 1CC",0.166286874413909,0.708060239439872,2,30,"CTH-1;CYSL-4"
"C2_Proteolysis general: serine",0.201673333712778,0.80235065274902,2,34,"LIDO-17;F19C7.4"
"C2_Cell cycle: chromosome dynamics",0.212428918826482,0.80235065274902,3,65,"HCP-3;F39C12.1;ZIM-2"
"C2_Extracellular material: matrix",0.218822905295187,0.80235065274902,3,66,"DGN-3;F43C11.7;Y39F10C.1"
"C2_Proteolysis general: inhibitor",0.218822905295187,0.80235065274902,3,66,"SCL-27;K11D12.6;SRP-6"
"C2_Signaling: S/T kinase",0.218822905295187,0.80235065274902,3,66,"AC3.12;F59E12.15;Y60A3A.16"
"C2_Protein modification: methyltransferase",0.27778948498418,0.991032757240858,3,75,"SET-26;SET-8;Y48E1C.1"
"C2_Cell cycle: APC",0.32706178315666,1,1,16,"GFI-3"
"C2_Proteolysis general: carboxypeptidase",0.32706178315666,1,1,16,"Y32F6A.5"
"C2_Stress response: heavy metal",0.32706178315666,1,1,16,"PALS-33"
"C2_Stress response: other",0.337550412256429,1,2,49,"POML-2;W01B11.6"
"C2_Trafficking: ER/Golgi",0.351414588538029,1,3,86,"COPB-1;E03H4.8;GCC-1"
"C2_Transcription: general machinery: RNA Pol II",0.35993008471718,1,4,124,"ELC-2;ELPC-2;TAF-1;F53H4.6"
"C2_Stress response: GST",0.364223079207684,1,2,52,"GST-17;GST-18"
"C2_Protein modification: carbohydrate",0.371030384657927,1,4,126,"C18G1.8;GLY-16;T07D3.4;T27F6.1"
"C2_Metabolism: glutathione",0.390519663256951,1,1,20,"GPX-4"
"C2_Lysosome: Vacuolar ATPase",0.419969865203369,1,1,22,"VHA-11"
"C2_Transcription factor: homeodomain",0.424127303011119,1,3,97,"CEH-84;CEH-86;CEH-89"
"C2_Proteolysis proteasome: other",0.434157403290899,1,1,23,"T28B8.3"
"C2_Cytoskeleton: innexin",0.447998209588067,1,1,24,"INX-16"
"C2_Signaling: lipid",0.449909758175506,1,3,101,"IPLA-6;Y37D8A.2;NAPE-1"
"C2_Cell cycle: other",0.474673286728479,1,1,26,"H24K24.2"
"C2_Proteolysis proteasome: 19S",0.474673286728479,1,1,26,"F56F11.4"
"C2_mRNA functions: processing",0.48687841521984,1,7,269,"PATR-1;Y55F3BR.1;Y94H6A.5;F35A5.1;CPSF-1;Y48G1BL.8;TEG-1"
"C2_Metabolism: nucleotide",0.493824393789721,1,3,108,"C29F7.3;Y65B4A.4;ZK563.7"
"C2_Proteolysis general: other",0.497752296921663,1,2,68,"F35F10.7;ZK430.5"
"C2_Trafficking: endocytosis",0.512290471058824,1,1,29,"TAG-138"
"C2_Signaling: WNT",0.524221629563821,1,1,30,"FRL-1"
"C2_Chaperone: DnaJ domain",0.535861156771571,1,1,31,"DNJ-26"
"C2_Lysosome: acid phosphatase",0.535861156771571,1,1,31,"PHO-10"
"C2_Major sperm protein",0.535861156771571,1,1,31,"MSP-19"
"C2_Proteolysis proteasome: ubiquitin peptidase",0.535861156771571,1,1,31,"Y67D2.2"
"C2_Transmembrane transport: sodium channel",0.547216174903198,1,1,32,"EGAS-1"
"C2_Globin",0.589927606678928,1,1,36,"GFI-1"
"C2_Transcription factor: bHLH",0.589927606678928,1,1,36,"HLH-31"
"C2_Metabolism: glycolysis",0.599960976223869,1,1,37,"HXK-3"
"C2_Transmembrane transport: amino acid",0.599960976223869,1,1,37,"AAT-7"
"C2_Signaling: heteromeric G protein",0.604134113561106,1,4,171,"ARRD-19;ARRD-3;GCY-1;RGS-9"
"C2_Cytoskeleton: motor protein",0.637700832160713,1,1,41,"DLC-4"
"C2_Neuronal function: other",0.646566265644449,1,1,42,"ODR-2"
"C2_Extracellular material: secreted protein",0.655214947305951,1,1,43,"SCL-8"
"C2_Metabolism: other",0.681443864678273,1,4,189,"ACDH-4;C01B10.9;T04A11.1;Y49E10.4"
"C2_mRNA functions: binding",0.710467596657224,1,2,101,"PUF-6;RBM-28"
"C2_Non-coding RNA: small RNA",0.717210358583642,1,1,51,"WAGO-5"
"C2_Transcription: chromatin structure",0.730353514402627,1,2,105,"HIS-13;HIS-9"
"C2_Transcription factor: ZF",0.730883740861202,1,1,53,"NHR-291"
"C2_Trafficking: vesicle targeting/fusion",0.800115542521553,1,1,65,"VPS-28"
"C2_Non-coding RNA: linc",0.800918639542666,1,3,174,"LINC-29;LINC-165;LINC-157"
"C2_Development: somatic",0.802335244597289,1,2,122,"ANC-1;DIG-1"
"C2_DNA: repair",0.809783166479317,1,1,67,"HPR-17"
"C2_Extracellular material: collagen",0.832991179122544,1,3,185,"COL-135;COL-179;COL-62"
"C2_Metabolism: amino acid",0.868857436855758,1,1,82,"F59A7.7"
"C2_Non-coding RNA: snRNA",0.959134752959722,1,1,129,"SLS-1.1"
"C2_Metabolism: mitochondria",0.961697836859875,1,4,330,"T26E3.7;Y50E8A.6;MPPA-1;TOMM-22"
"C2_Transmembrane protein: other",0.980398317893834,1,3,305,"ABU-4;ABU-7;F53C3.6"
"C2_Neuronal function: synaptic function",0.98323901318709,1,2,244,"NPR-30;NPR-31"
"C2_Non-coding RNA: miRNA",0.998303192619922,1,1,257,"MIR-4923.2"
"C2_Non-coding RNA: snoRNA",0.99980577770869,1,1,344,"Y51H4A.940"
"C2_Non-coding RNA: tRNA",0.999993937977014,1,3,688,"R03D7.2;Y105E8A.20;YARS-1"
"C2_Cell cycle: kinase",1,1,0,23,""
"C2_Cell cycle: meiotic/mitotic spindle",1,1,0,23,""
"C2_Chaperone: cyclophilin",1,1,0,28,""
"C2_Cilia: IFT",1,1,0,38,""
"C2_Cytoskeleton: claudin",1,1,0,15,""
"C2_Development: germline",1,1,0,20,""
"C2_DNA: nuclease",1,1,0,17,""
"C2_Extracellular material: cuticlin",1,1,0,35,""
"C2_Lysosome: autophagy",1,1,0,25,""
"C2_Metabolism: carbohydrate",1,1,0,83,""
"C2_Metabolism: insulin",1,1,0,40,""
"C2_Metabolism: short chain dehydrogenase",1,1,0,42,""
"C2_Muscle function",1,1,0,62,""
"C2_Neuronal function: development",1,1,0,15,""
"C2_Non-coding RNA: asRNA",1,1,0,16,""
"C2_Nuclear pore: structure",1,1,0,28,""
"C2_Protein modification: acetyltransferase",1,1,0,17,""
"C2_Protein modification: lipidation",1,1,0,17,""
"C2_Proteolysis general: aspartate",1,1,0,33,""
"C2_Proteolysis proteasome: E2",1,1,0,17,""
"C2_Ribosome: biogenesis",1,1,0,53,""
"C2_Ribosome: EIF",1,1,0,60,""
"C2_Ribosome: subunit",1,1,0,92,""
"C2_Signaling: calcium",1,1,0,34,""
"C2_Signaling: hedgehog-like",1,1,0,90,""
"C2_Signaling: MAPK",1,1,0,32,""
"C2_Signaling: Notch",1,1,0,18,""
"C2_Signaling: small GTPase",1,1,0,183,""
"C2_Signaling: TGF beta",1,1,0,17,""
"C2_Stress response: ER",1,1,0,17,""
"C2_Stress response: heat",1,1,0,30,""
"C2_Stress response: thioredoxin",1,1,0,15,""
"C2_Transcription factor: bZIP",1,1,0,24,""
"C2_Transcription factor: other",1,1,0,33,""
"C2_Transcription factor: T box",1,1,0,21,""
"C2_Transmembrane protein: ER",1,1,0,24,""
"C2_Transmembrane transport: calcium channel",1,1,0,20,""
"C2_Transmembrane transport: extracellular ligand gated channel",1,1,0,59,""
"C2_Transmembrane transport: lipid",1,1,0,15,""
"C2_Transmembrane transport: mitochondrial",1,1,0,34,""
"C2_Transmembrane transport: nicotinic acid receptor",1,1,0,20,""
"C2_Transmembrane transport: other",1,1,0,50,""
"C2_Transmembrane transport: TRP  channel",1,1,0,15,""
